match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,generated_at
3942227,0,1,England,Switzerland,0,0,Quarter-finals,Kick Off,,England,[Kick Off] The first half begins. Quarter-finals: England vs. Switzerland!,gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:28.128081
3942227,1,1,England,Switzerland,0,0,Quarter-finals,General,Phil Foden,England,"[General] Switzerland dominating early, controlling possession in midfield.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:32.734409
3942227,2,1,England,Switzerland,0,0,Quarter-finals,General,Kyle Walker,England,"[General] Switzerland in control, dominating midfield for the last 2 minutes.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:38.529579
3942227,3,1,England,Switzerland,0,0,Quarter-finals,General,Manuel Obafemi Akanji,Switzerland,"[General] England dominating possession early, controlling the midfield play.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:44.272272
3942227,4,1,England,Switzerland,0,0,Quarter-finals,General,Ruben Vargas,Switzerland,"[General] Switzerland dominating possession, controlling the midfield early on.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:48.255849
3942227,5,1,England,Switzerland,0,0,Quarter-finals,General,John Stones,England,"[General] England dominating possession, controlling the midfield early on.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:50.883347
3942227,6,1,England,Switzerland,0,0,Quarter-finals,Free Kick,Manuel Obafemi Akanji,Switzerland,[Foul] Foul by Rice (England) on Akanji (Switzerland). Free kick awarded in Switzerland's defensive half.,gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:52.292540
3942227,7,1,England,Switzerland,0,0,Quarter-finals,Free Kick,Dan Ndoye,Switzerland,[Foul] Foul by England on Dan Ndoye (Switzerland) in the defensive half.,gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:54.002535
3942227,8,1,England,Switzerland,0,0,Quarter-finals,General,Granit Xhaka,Switzerland,"[General] Switzerland dominating possession, controlling the midfield early on.",gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:58.781781
3942227,9,1,England,Switzerland,0,0,Quarter-finals,Shot (Off T),Breel-Donald Embolo,Switzerland,[Shot Missed] Attempt missed. Breel-Donald Embolo's right footed shot from the six yard box goes wide.,gpt-4o-mini,gpt-4o,False,2025-12-29T15:00:59.916128
