match_id,minute,period,event_index,home_team,away_team,home_score,away_score,stage,detected_type,player,team,location,event_count,play_patterns,event_types,rule_based_commentary,sequence_commentary,llm_commentary,model,generated_at,v3_consecutive_generals,v3_domination_team,v3_domination_streak,v3_multi_shots_count,v3_multi_shots_scenario,v3_multi_corners_count,v3_multi_fouls_count,v3_multi_subs_count,v3_multi_offsides_count,event_distance,event_phase,event_period,event_stage,has_chain,event_delivered_by,event_conceded_by,event_committed_by,event_committed_team,event_fouled_player,event_fouled_team,event_foul_committed_by,event_foul_committed_team,event_injured_player,event_injured_team,event_outcome,event_body_part,event_blocked_by,event_carded_player,event_carded_team,event_saved_by,event_player_off,event_substitution_info,event_scorer,event_assisted_by
3943043,0,1,0,Spain,England,0,0,Final,Kick Off,,England,,35,"From Goal Kick(15), From Throw In(11), From Kick Off(5), Regular Play(4)","Pass(9), Ball Receipt*(8), Carry(7), Pressure(3), Starting XI(2)",Half Start,"[0:00] Starting XI . Starting XI, Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford","[Kick Off] The Final is underway! Spain versus England, both teams eager for glory.",gpt-4o-mini,2025-12-09T17:00:39.381541,0,,0,0,,0,0,0,0,,Final MATCH - First Half begins,1.0,Final,False,,,,,,,,,,,,,,,,,,,,
3943043,1,1,0,Spain,England,0,0,Final,General,Jude Bellingham,England,right side of the box,52,"From Throw In(27), Regular Play(25)","Carry(14), Ball Receipt*(12), Pass(11), Pressure(7), Duel(4)",Jude Bellingham in the duel,"[1:39] Daniel Carvajal Ramos surges forward on a BRILLIANT run from the left midfield into the left defensive third under pressure, plays a short pass along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Carvajal Ramos, Daniel Carvajal Ramos under pressure, carries the ball - BUT LOSES IT!","[General] Spain dominating early with 73% possession, controlling midfield play.",gpt-4o-mini,2025-12-09T17:00:41.566836,1,,0,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,2,1,0,Spain,England,0,0,Final,General,Robin Aime Robert Le Normand,Spain,defensive half,41,From Throw In(41),"Pass(14), Ball Receipt*(13), Carry(10), Pressure(3), Ball Recovery(1)","Robin Aime Robert Le Normand under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos","[2:58] Robin Aime Robert Le Normand under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos, Daniel Carvajal Ramos under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Álvaro Borja Morata Martín . John Stones closes down Daniel Carvajal Ramos . Álvaro Borja Morata Martín under pressure, carries the ball","[General] Spain controlling the game, dominating possession in their defensive third for 2 minutes.",gpt-4o-mini,2025-12-09T17:00:42.957473,2,Spain,2,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,3,1,0,Spain,England,0,0,Final,General,Robin Aime Robert Le Normand,Spain,midfield,63,"Regular Play(53), From Throw In(10)","Ball Receipt*(17), Carry(17), Pass(17), Pressure(5), Block(2)","Robin Aime Robert Le Normand under pressure, carries the ball","[3:53] Marc Cucurella Saseta under pressure, carries the ball under pressure, plays a short pass back along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball under pressure, plays a long pass along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball","[General] Spain dominating early, controlling midfield with 76% possession for three minutes.",gpt-4o-mini,2025-12-09T17:00:43.974395,3,Spain,3,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,4,1,0,Spain,England,0,0,Final,Corner,Nicholas Williams Arthuer,Spain,six yard box,28,"Regular Play(22), From Corner(6)","Pass(9), Ball Receipt*(6), Carry(4), Clearance(4), Duel(2)","Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Daniel Carvajal Ramos into the central attacking third, but the pass doesn't find its target","[4:47] Nicholas Williams Arthuer under pressure, delivers the corner a dangerous long ball through the air to Daniel Carvajal Ramos into the central attacking third, but the pass doesn't find its target, Daniel Carvajal Ramos receives under pressure in the central attacking third in the duel . Jude Bellingham clears the danger, Phil Foden clears the danger","[Corner] Corner for Spain, delivered by Nico Williams. Conceded by John Stones.",gpt-4o-mini,2025-12-09T17:00:44.978485,0,,0,0,,6,0,0,0,close range,,,,False,Nicholas Williams Arthuer,John Stones,,,,,,,,,,,,,,,,,,
3943043,5,1,0,Spain,England,0,0,Final,General,Daniel Carvajal Ramos,Spain,left side of the box,55,Regular Play(55),"Ball Receipt*(17), Carry(17), Pass(16), Pressure(3), Block(1)","Daniel Carvajal Ramos under pressure, carries the ball","[5:58] Daniel Carvajal Ramos under pressure, carries the ball under pressure, plays a medium pass back along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante, Rodrigo Hernández Cascante under pressure, plays a short pass along the ground to Robin Aime Robert Le Normand","[General] Spain dominating early with 96.4% possession, controlling the midfield.",gpt-4o-mini,2025-12-09T17:00:46.353846,1,,0,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,6,1,0,Spain,England,0,0,Final,General,Robin Aime Robert Le Normand,Spain,left wing,61,Regular Play(61),"Pass(21), Ball Receipt*(20), Carry(17), Pressure(3)","Robin Aime Robert Le Normand under pressure, plays a long pass along the ground to Aymeric Laporte","[6:58] Robin Aime Robert Le Normand under pressure, carries the ball under pressure, plays a long pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball under pressure, plays a long pass forward along the ground to Nicholas Williams Arthuer into the right attacking third, Nicholas Williams Arthuer under pressure, carries the ball","[General] Spain dominating possession with 100%, controlling midfield for 2 minutes.",gpt-4o-mini,2025-12-09T17:00:47.806871,2,Spain,2,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,7,1,0,Spain,England,0,0,Final,General,Fabián Ruiz Peña,Spain,right wing,50,"Regular Play(45), From Throw In(5)","Pass(16), Ball Receipt*(14), Carry(7), Pressure(5), Interception(2)","Fabián Ruiz Peña under pressure, plays a medium pass forward along the ground to Álvaro Borja Morata Martín into the right attacking third","[7:53] Daniel Olmo Carvajal under MASSIVE pressure, plays a medium pass along the ground to Daniel Carvajal Ramos, Daniel Carvajal Ramos under pressure, carries the ball under pressure, plays a medium pass along the ground to Fabián Ruiz Peña, Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Álvaro Borja Morata Martín into the right attacking third","[General] Spain dominating possession with 72%, controlling the midfield for 3 minutes. Fabián Ruiz leading the charge.",gpt-4o-mini,2025-12-09T17:00:48.918672,3,Spain,3,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,8,1,0,Spain,England,0,0,Final,General,Jordan Pickford,England,defensive half,41,"From Throw In(23), Regular Play(11), From Counter(7)","Ball Receipt*(14), Pass(13), Carry(9), Pressure(2), Block(2)","Jordan Pickford under pressure, carries the ball - BUT LOSES IT!","[8:58] Jordan Pickford under pressure, carries the ball - BUT LOSES IT! . Álvaro Borja Morata Martín closes down Jordan Pickford . Jordan Pickford under pressure, plays a long ball forward through the air to Bukayo Saka, Bukayo Saka under pressure, carries the ball - BUT LOSES IT! . Marc Cucurella Saseta closes down Bukayo Saka","[General] Even contest in midfield, both teams feeling each other out.",gpt-4o-mini,2025-12-09T17:00:49.939767,4,,0,0,,0,0,0,0,long range,,,,False,,,,,,,,,,,,,,,,,,,,
3943043,9,1,0,Spain,England,0,0,Final,Foul,Jude Bellingham,England,right wing,24,From Throw In(24),"Pass(7), Ball Receipt*(6), Carry(5), Pressure(4), Foul Committed(1)",Jude Bellingham is fouled,"[9:29] Jude Bellingham is fouled, Luke Shaw under pressure, delivers the free kick a long ball forward through the air into the left attacking third, ⚠️ FOUL by Marc Guehi in the central attacking third",[Foul] Foul by Rodrigo Hernández (Spain) on Jude Bellingham (England) near the right wing.,gpt-4o-mini,2025-12-09T17:00:51.001190,0,,0,0,,0,0,0,0,long range,,,,False,,,Rodrigo Hernández Cascante,Spain,Jude Bellingham,England,,,,,,,,,,,,,,
