match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3930163,0,1,Serbia,England,0,0,Group Stage,Kick Off,,Serbia,[Kick Off] The Group Stage match is underway! Serbia faces England in an exciting clash.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:30.968558
3930163,1,1,Serbia,England,0,0,Group Stage,Foul,Phil Foden,England,[Foul] Foul by Nemanja Gudelj (Serbia) on Phil Foden (England) near the left side of the box.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:32.116582
3930163,2,1,Serbia,England,0,0,Group Stage,Foul,Bukayo Saka,England,"[Foul] Foul by Sergej Milinković-Savić on Bukayo Saka, just outside the left side of the box.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:33.254194
3930163,3,1,Serbia,England,0,0,Group Stage,Free Kick,Trent Alexander-Arnold,England,[Foul] Free kick awarded to England! Trent Alexander-Arnold fouled on the left side of the box.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:34.735697
3930163,4,1,Serbia,England,0,0,Group Stage,Free Kick,Kieran Trippier,England,[Foul] Free kick awarded to England! Trippier fouled on the right side of the box.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:35.627309
3930163,5,1,Serbia,England,0,0,Group Stage,Free Kick,Predrag Rajković,Serbia,[Foul] Foul by England on Predrag Rajković in Serbia's defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:36.860627
3930163,6,1,Serbia,England,0,0,Group Stage,Free Kick,Saša Lukić,Serbia,"[Foul] Foul by Rice on Lukić, free kick awarded to Serbia on the left side of the box.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:37.913014
3930163,7,1,Serbia,England,0,0,Group Stage,General,Jordan Pickford,England,[General] England dominating the midfield early on with 93% possession.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:40.536651
3930163,8,1,Serbia,England,0,0,Group Stage,Free Kick,Declan Rice,England,[Foul] Free kick awarded to England! Lukić fouls Bellingham in the attacking third.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:41.587969
3930163,9,1,Serbia,England,0,0,Group Stage,Free Kick,Kieran Trippier,England,[Foul] Foul by John Stones (England) on Aleksandar Mitrović (Serbia). Free kick in the attacking third.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T20:08:42.606627
