timestamp,match_id,minute,period,score_home,score_away,home_team,away_team,interesting,confidence,main_finding,reason,momentum_gap,home_momentum,away_momentum,home_change,away_change,has_tension,is_max_gap,home_streak,away_streak,game_phase,has_predictions
2025-12-29T15:00:31.886900,3942227,1,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"The game is in its initial stages (minute 1), and while England shows a slight momentum advantage, the changes are minimal and do not indicate any significant patterns or trends. It's too early to derive any meaningful insights or predictions from the data provided.",0.7520000000000007,5.371,4.619,-0.512,-0.047,False,True,1,0,early,False
2025-12-29T15:00:37.080416,3942227,2,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"The match is in its early stages (minute 2), and while England has a slight momentum advantage, the changes are minimal and not indicative of any significant pattern or trend. The current gap is the largest seen so far, but given the early phase, it doesn't provide substantial insight into the game's direction.",0.7889999999999997,5.367,4.578,-0.486,0.146,False,True,2,1,early,False
2025-12-29T15:00:41.583819,3942227,3,1,0,0,England,Switzerland,False,0.4,Early game with minor momentum shifts,"At minute 3, the game is still in its early stages, and the momentum values for both teams are quite close, with England slightly ahead. The changes in momentum are small, and there are no significant streaks or patterns that indicate a strong advantage for either team. The gap is not the largest seen so far, and the overall situation is balanced. It's too early for meaningful patterns to emerge, and the game needs more time to develop for any interesting insights to appear.",0.4969999999999999,5.1,4.603,-0.169,0.253,False,False,3,2,early,False
2025-12-29T15:00:46.653798,3942227,4,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"The match is in its early stages (minute 4), and while Switzerland is showing a slight increase in momentum, the changes are minimal and not indicative of any significant pattern. The momentum difference is small (+0.29), and both teams are relatively balanced. It's too early to draw any conclusions or identify interesting patterns.",0.2869999999999999,4.859,4.572,-0.51,0.535,False,False,4,3,early,False
2025-12-29T15:00:49.937877,3942227,5,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"At minute 5, the game is still in its early stages with no significant momentum shifts or patterns. Both teams have similar momentum values, and the changes observed are minor and typical for this phase of the game. It's best to wait for the game to develop further before identifying any interesting patterns.",0.15700000000000003,4.881,4.724,0.218,0.456,False,False,1,4,early,False
2025-12-29T15:00:56.902880,3942227,8,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"The game is in the early stages (minute 8), and while Switzerland has shown a slight drop in momentum, the overall difference between the teams is minimal (-0.08). Both teams are relatively balanced, and no significant patterns or trends have emerged yet. It's too soon to draw any conclusions or identify any impactful momentum shifts.",-0.08099999999999952,5.099,5.18,0.263,-1.109,False,False,4,2,early,False
2025-12-29T15:01:02.395506,3942227,10,1,0,0,England,Switzerland,False,0.4,Early game momentum shift with England leading,"It's too early in the match to draw significant conclusions from the momentum data. Although England has a slight momentum advantage with a gap of 1.28, this is the largest gap seen so far, but it's still early in the game. The patterns and changes are not extreme enough to warrant interest at this stage. The game is still developing, and more time is needed to identify meaningful patterns.",1.2839999999999998,5.309,4.025,0.175,0.46,False,True,6,1,early,False
2025-12-29T15:01:06.646164,3942227,11,1,0,0,England,Switzerland,False,0.4,Early game momentum with minor fluctuations,"The match is still in the early stages, and while England has a slight momentum advantage, the changes are minimal and typical for this phase. The gap of 1.29 is the largest seen so far, but it is not significant enough to indicate a strong pattern or trend. The game remains balanced with no clear dominance or tension patterns emerging yet.",1.2910000000000004,5.362,4.071,-0.09,0.566,False,True,0,2,early,False
2025-12-29T15:01:10.291067,3942227,12,1,0,0,England,Switzerland,False,0.4,Too early for meaningful patterns,"The match is in the early stages (minute 12), and while England shows a slight momentum advantage, the changes are minor and within typical early-game fluctuations. No significant patterns or thresholds have been reached, and the game remains balanced.",0.9650000000000007,5.267,4.302,0.24,0.621,False,False,1,3,early,False
2025-12-29T15:01:16.952702,3942227,16,1,0,0,England,Switzerland,False,0.4,Early game momentum shifts are minor and balanced.,"At minute 16, both teams show minor momentum changes with no significant patterns. England's momentum is slightly rising, while Switzerland's is slightly falling, but the gap is small (-0.37) and not indicative of a strong trend. The game is still in the early phase, and no extreme patterns or significant streaks are present. This is typical for the early stages of a match, where momentum often fluctuates without clear dominance.",-0.36599999999999966,4.833,5.199,0.728,-0.741,False,False,1,1,build_up,False
